789,0,0,0,1,0,0
780,0,0,0,1,0,0
794,0,0,0,1,0,0
786,0,0,0,1,0,0
799,0,0,0,1,0,0
799,0,0,0,1,0,0
786,0,0,0,1,0,0
794,0,0,0,1,0,0
785,0,0,0,1,0,0
807,0,0,0,1,0,0
808,0,0,0,1,0,0
803,0,0,0,1,0,0
804,0,0,0,1,0,0
781,0,0,0,1,0,0
781,0,0,0,1,0,0
798,0,0,0,1,0,0
799,0,0,0,1,0,0
777,0,0,0,1,0,0
767,0,0,0,1,0,0
757,0,0,0,1,0,0
765,0,0,0,1,0,0
766,0,0,0,1,0,0
763,0,0,0,1,0,0
758,0,0,0,1,0,0
765,0,0,0,1,0,0
749,0,0,0,1,0,0
764,0,0,0,1,0,0
760,0,0,0,1,0,0
761,0,0,0,1,0,0
761,0,0,0,1,0,0
748,0,0,0,1,0,0
761,0,0,0,1,0,0
772,0,0,0,1,0,0
763,0,0,0,1,0,0
754,0,0,0,1,0,0
767,0,0,0,1,0,0
755,0,0,0,1,0,0
757,0,0,0,1,0,0
765,0,0,0,1,0,0
767,0,0,0,1,0,0
765,0,0,0,1,0,0
759,0,0,0,1,0,0
782,0,0,0,1,0,0
787,0,0,0,1,0,0
776,0,0,0,1,0,0
794,0,0,0,1,0,0
779,0,0,0,1,0,0
796,0,0,0,1,0,0
796,0,0,0,1,0,0
787,0,0,0,1,0,0
768,0,0,0,1,0,0
767,0,0,0,1,0,0
772,0,0,0,1,0,0
776,0,0,0,1,0,0
770,0,0,0,1,0,0
722,0,0,0,1,0,0
722,0,0,0,1,0,0
729,0,0,0,1,0,0
721,0,0,0,1,0,0
721,0,0,0,1,0,0
725,0,0,0,1,0,0
720,0,0,0,1,0,0
722,0,0,0,1,0,0
725,0,0,0,1,0,0
726,0,0,0,1,0,0
726,0,0,0,1,0,0
724,0,0,0,1,0,0
720,0,0,0,1,0,0
727,0,0,0,1,0,0
722,0,0,0,1,0,0
724,0,0,0,1,0,0
721,0,0,0,1,0,0
725,0,0,0,1,0,0
726,0,0,0,1,0,0
722,0,0,0,1,0,0
726,0,0,0,1,0,0
723,0,0,0,1,0,0
723,0,0,0,1,0,0
722,0,0,0,1,0,0
726,0,0,0,1,0,0
720,0,0,0,1,0,0
722,0,0,0,1,0,0
722,0,0,0,1,0,0
721,0,0,0,1,0,0
721,0,0,0,1,0,0
725,0,0,0,1,0,0
722,0,0,0,1,0,0
723,0,0,0,1,0,0
722,0,0,0,1,0,0
724,0,0,0,1,0,0
726,0,0,0,1,0,0
723,0,0,0,1,0,0
727,0,0,0,1,0,0
723,0,0,0,1,0,0
722,0,0,0,1,0,0
721,0,0,0,1,0,0
723,0,0,0,1,0,0
724,0,0,0,1,0,0
723,0,0,0,1,0,0
724,0,0,0,1,0,0
723,0,0,0,1,0,0
725,0,0,0,1,0,0
726,0,0,0,1,0,0
723,0,0,0,1,0,0
722,0,0,0,1,0,0
724,0,0,0,1,0,0
721,0,0,0,1,0,0
720,0,0,0,1,0,0
724,0,0,0,1,0,0
721,0,0,0,1,0,0
720,0,0,0,1,0,0
721,0,0,0,1,0,0
724,0,0,0,1,0,0
723,0,0,0,1,0,0
722,0,0,0,1,0,0
723,0,0,0,1,0,0
720,0,0,0,1,0,0
721,0,0,0,1,0,0
721,0,0,0,1,0,0
721,0,0,0,1,0,0
721,0,0,0,1,0,0
724,0,0,0,1,0,0
722,0,0,0,1,0,0
722,0,0,0,1,0,0
722,0,0,0,1,0,0
720,0,0,0,1,0,0
720,0,0,0,1,0,0
725,0,0,0,1,0,0
724,0,0,0,1,0,0
721,0,0,0,1,0,0
720,0,0,0,1,0,0
722,0,0,0,1,0,0
720,0,0,0,1,0,0
719,0,0,0,1,0,0
725,0,0,0,1,0,0
724,0,0,0,1,0,0
722,0,0,0,1,0,0
725,0,0,0,1,0,0
725,0,0,0,1,0,0
722,0,0,0,1,0,0
723,0,0,0,1,0,0
722,0,0,0,1,0,0
722,0,0,0,1,0,0
723,0,0,0,1,0,0
720,0,0,0,1,0,0
719,0,0,0,1,0,0
722,0,0,0,1,0,0
723,0,0,0,1,0,0
722,0,0,0,1,0,0
722,0,0,0,1,0,0
722,0,0,0,1,0,0
719,0,0,0,1,0,0
720,0,0,0,1,0,0
721,0,0,0,1,0,0
721,0,0,0,1,0,0
720,0,0,0,1,0,0
721,0,0,0,1,0,0
722,0,0,0,1,0,0
722,0,0,0,1,0,0
723,0,0,0,1,0,0
720,0,0,0,1,0,0
720,0,0,0,1,0,0
719,0,0,0,1,0,0
719,0,0,0,1,0,0
723,0,0,0,1,0,0
721,0,0,0,1,0,0
723,0,0,0,1,0,0
720,0,0,0,2,0,0
719,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
720,0,0,0,1,0,0
719,0,0,0,1,0,0
720,0,0,0,1,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
718,0,0,0,2,0,0
719,0,0,0,1,0,0
719,0,0,0,2,0,0
719,0,0,0,1,0,1
718,0,0,0,2,0,0
719,0,0,0,1,0,0
719,0,0,0,2,0,0
897,0,0,0,1,0,0
746,0,0,0,1,0,0
742,0,0,0,1,0,0
770,0,0,0,1,0,0
771,0,0,0,1,0,0
772,0,0,0,1,0,0
770,0,0,0,1,0,0
760,0,0,0,1,0,0
781,0,0,0,1,0,0
784,0,0,0,1,0,0
757,0,0,0,1,0,0
757,0,0,0,1,0,0
770,0,0,0,1,0,0
766,0,0,0,1,0,0
771,0,0,0,1,0,0
788,0,0,0,1,0,0
781,0,0,0,1,0,0
774,0,0,0,1,0,0
756,0,0,0,1,0,0
770,0,0,0,1,0,0
772,0,0,0,1,0,0
783,0,0,0,1,0,0
772,0,0,0,1,0,0
742,0,0,0,1,0,0
730,0,0,0,1,0,0
742,0,0,0,1,0,0
734,0,0,0,1,0,0
753,0,0,0,1,0,0
729,0,0,0,1,0,0
726,0,0,0,1,0,0
740,0,0,0,1,0,0
719,0,0,0,1,0,0
731,0,0,0,1,0,0
735,0,0,0,1,0,0
727,0,0,0,1,0,0
754,0,0,0,1,0,0
770,0,0,0,1,0,0
760,0,0,0,1,0,0
761,0,0,0,1,0,0
754,0,0,0,1,0,0
780,0,0,0,1,0,0
780,0,0,0,1,0,0
779,0,0,0,1,0,0
764,0,0,0,1,0,0
767,0,0,0,1,0,0
735,0,0,0,1,0,0
759,0,0,0,1,0,0
760,0,0,0,1,0,0
771,0,0,0,1,0,0
747,0,0,0,1,0,0
762,0,0,0,1,0,0
769,0,0,0,1,0,0
745,0,0,0,1,0,0
747,0,0,0,1,0,0
762,0,0,0,1,0,0
769,0,0,0,1,0,0
761,0,0,0,1,0,0
756,0,0,0,1,0,0
770,0,0,0,1,0,0
741,0,0,0,1,0,0
763,0,0,0,1,0,0
748,0,0,0,1,0,0
739,0,0,0,1,0,0
736,0,0,0,1,0,0
740,0,0,0,1,0,0
741,0,0,0,1,0,0
731,0,0,0,1,0,0
731,0,0,0,1,0,0
740,0,0,0,1,0,0
760,0,0,0,1,0,0
758,0,0,0,1,0,0
754,0,0,0,1,0,0
754,0,0,0,1,0,0
758,0,0,0,1,0,0
761,0,0,0,1,0,0
752,0,0,0,1,0,0
751,0,0,0,1,0,0
764,0,0,0,1,0,0
773,0,0,0,1,0,0
775,0,0,0,1,0,0
747,0,0,0,1,0,0
755,0,0,0,1,0,0
769,0,0,0,1,0,0
775,0,0,0,1,0,0
768,0,0,0,1,0,0
769,0,0,0,1,0,0
756,0,0,0,1,0,0
761,0,0,0,1,0,0
751,0,0,0,1,0,0
774,0,0,0,1,0,0
769,0,0,0,1,0,0
758,0,0,0,1,0,0
748,0,0,0,1,0,0
754,0,0,0,1,0,0
746,0,0,0,1,0,0
723,0,0,0,1,0,0
717,0,0,0,1,0,0
721,0,0,0,1,0,0
729,0,0,0,1,0,0
741,0,0,0,1,0,0
733,0,0,0,1,0,0
716,0,0,0,1,0,0
693,0,0,0,1,0,0
703,0,0,0,1,0,0
703,0,0,0,1,0,0
702,0,0,0,1,0,0
693,0,0,0,1,0,0
700,0,0,0,1,0,0
709,0,0,0,1,0,0
704,0,0,0,1,0,0
700,0,0,0,1,0,0
710,0,0,0,1,0,0
699,0,0,0,1,0,0
703,0,0,0,1,0,0
705,0,0,0,1,0,0
700,0,0,0,1,0,0
699,0,0,0,1,0,0
709,0,0,0,1,0,0
719,0,0,0,1,0,0
724,0,0,0,1,0,0
715,0,0,0,1,0,0
720,0,0,0,1,0,0
716,0,0,0,1,0,0
713,0,0,0,1,0,0
714,0,0,0,1,0,0
707,0,0,0,1,0,0
716,0,0,0,1,0,0
700,0,0,0,1,0,0
712,0,0,0,1,0,0
717,0,0,0,1,0,0
697,0,0,0,1,0,0
708,0,0,0,1,0,0
703,0,0,0,1,0,0
709,0,0,0,1,0,0
700,0,0,0,1,0,0
698,0,0,0,1,0,0
703,0,0,0,1,0,0
704,0,0,0,1,0,0
698,0,0,0,1,0,0
701,0,0,0,1,0,0
692,0,0,0,1,0,0
690,0,0,0,1,0,0
688,0,0,0,1,0,0
691,0,0,0,1,0,0
698,0,0,0,1,0,0
690,0,0,0,1,0,0
693,0,0,0,1,0,0
688,0,0,0,1,0,0
691,0,0,0,1,0,0
687,0,0,0,1,0,0
689,0,0,0,1,0,0
690,0,0,0,1,0,0
688,0,0,0,1,0,0
688,0,0,0,1,0,0
689,0,0,0,1,0,0
691,0,0,0,1,0,0
686,0,0,0,1,0,0
689,0,0,0,1,0,0
687,0,0,0,1,0,0
686,0,0,0,1,0,0
685,0,0,0,1,0,0
687,0,0,0,1,0,0
689,0,0,0,1,0,0
685,0,0,0,1,0,0
687,0,0,0,1,0,0
687,0,0,0,1,0,0
688,0,0,0,1,0,0
687,0,0,0,1,0,0
685,0,0,0,1,0,0
691,0,0,0,1,0,0
686,0,0,0,1,0,0
689,0,0,0,1,0,0
685,0,0,0,1,0,0
686,0,0,0,1,0,0
687,0,0,0,1,0,0
689,0,0,0,1,0,0
687,0,0,0,1,0,0
688,0,0,0,1,0,0
687,0,0,0,1,0,0
685,0,0,0,1,0,0
686,0,0,0,1,0,0
685,0,0,0,1,0,0
689,0,0,0,1,0,0
685,0,0,0,1,0,0
686,0,0,0,1,0,0
685,0,0,0,1,0,0
686,0,0,0,1,0,0
685,0,0,0,1,0,0
686,0,0,0,1,0,0
685,0,0,0,1,0,0
688,0,0,0,1,0,0
685,0,0,0,1,0,0
686,0,0,0,1,0,0
685,0,0,0,1,0,0
687,0,0,0,1,0,0
686,0,0,0,1,0,0
685,0,0,0,1,0,0
687,0,0,0,1,0,0
685,0,0,0,1,0,0
689,0,0,0,1,0,0
685,0,0,0,1,0,0
689,0,0,0,1,0,0
685,0,0,0,1,0,0
685,0,0,0,1,0,0
685,0,0,0,1,0,0
688,0,0,0,1,0,0
685,0,0,0,1,0,0
685,0,0,0,1,0,0
685,0,0,0,1,0,0
686,0,0,0,1,0,0
689,0,0,0,1,0,0
692,0,0,0,1,0,0
691,0,0,0,1,0,0
688,0,0,0,1,0,0
688,0,0,0,1,0,0
689,0,0,0,1,0,0
691,0,0,0,1,0,0
688,0,0,0,1,0,0
689,0,0,0,1,0,0
691,0,0,0,1,0,0
689,0,0,0,1,0,0
690,0,0,0,1,0,0
687,0,0,0,1,0,0
689,0,0,0,1,0,0
693,0,0,0,1,0,0
691,0,0,0,1,0,0
692,0,0,0,1,0,0
692,0,0,0,1,0,0
687,0,0,0,1,0,0
692,0,0,0,1,0,0
686,0,0,0,1,0,0
692,0,0,0,1,0,0
689,0,0,0,1,0,0
692,0,0,0,1,0,0
692,0,0,0,1,0,0
687,0,0,0,1,0,0
691,0,0,0,1,0,0
688,0,0,0,1,0,0
692,0,0,0,1,0,0
688,0,0,0,1,0,0
686,0,0,0,1,0,0
693,0,0,0,1,0,0
687,0,0,0,1,0,0
692,0,0,0,1,0,0
693,0,0,0,1,0,0
688,0,0,0,1,0,0
687,0,0,0,1,0,0
688,0,0,0,1,0,0
691,0,0,0,1,0,0
686,0,0,0,1,0,0
686,0,0,0,1,0,0
686,0,0,0,1,0,0
687,0,0,0,1,0,0
689,0,0,0,1,0,0
686,0,0,0,1,0,0
687,0,0,0,1,0,0
686,0,0,0,1,0,0
689,0,0,0,1,0,0
687,0,0,0,1,0,0
688,0,0,0,1,0,0
688,0,0,0,1,0,0
687,0,0,0,1,0,0
688,0,0,0,1,0,0
686,0,0,0,1,0,0
690,0,0,0,1,0,0
687,0,0,0,1,0,0
690,0,0,0,1,0,0
689,0,0,0,1,0,0
693,0,0,0,1,0,0
688,0,0,0,1,0,0
688,0,0,0,1,0,0
692,0,0,0,1,0,0
689,0,0,0,1,0,0
688,0,0,0,1,0,0
691,0,0,0,1,0,0
692,0,0,0,1,0,0
688,0,0,0,1,0,0
686,0,0,0,1,0,0
693,0,0,0,1,0,0
692,0,0,0,1,0,0
691,0,0,0,1,0,0
691,0,0,0,1,0,0
692,0,0,0,1,0,0
693,0,0,0,1,0,0
693,0,0,0,1,0,0
696,0,0,0,1,0,0
692,0,0,0,1,0,0
701,0,0,0,1,0,0
693,0,0,0,1,0,0
690,0,0,0,1,0,0
690,0,0,0,1,0,0
689,0,0,0,1,0,0
692,0,0,0,1,0,0
690,0,0,0,1,0,0
693,0,0,0,1,0,0
690,0,0,0,1,0,0
692,0,0,0,1,0,0
694,0,0,0,1,0,0
695,0,0,0,1,0,0
691,0,0,0,1,0,0
952,0,0,0,1,0,0
767,0,0,0,1,0,0
778,0,0,0,1,0,0
760,0,0,0,1,0,0
756,0,0,0,1,0,0
761,0,0,0,1,0,0
760,0,0,0,1,0,0
771,0,0,0,1,0,0
767,0,0,0,1,0,0
766,0,0,0,1,0,0
774,0,0,0,1,0,0
751,0,0,0,1,0,0
770,0,0,0,1,0,0
768,0,0,0,1,0,0
744,0,0,0,1,0,0
738,0,0,0,1,0,0
749,0,0,0,1,0,0
732,0,0,0,1,0,0
744,0,0,0,1,0,0
736,0,0,0,1,0,0
733,0,0,0,1,0,0
744,0,0,0,1,0,0
741,0,0,0,1,0,0
731,0,0,0,1,0,0
720,0,0,0,1,0,0
719,0,0,0,1,0,0
725,0,0,0,1,0,0
722,0,0,0,1,0,0
722,0,0,0,1,0,0
724,0,0,0,1,0,0
719,0,0,0,1,0,0
713,0,0,0,1,0,0
724,0,0,0,1,0,0
719,0,0,0,1,0,0
720,0,0,0,1,0,0
716,0,0,0,1,0,0
723,0,0,0,1,0,0
714,0,0,0,1,0,0
715,0,0,0,1,0,0
734,0,0,0,1,0,0
722,0,0,0,1,0,0
736,0,0,0,1,0,0
728,0,0,0,1,0,0
736,0,0,0,1,0,0
733,0,0,0,1,0,0
736,0,0,0,1,0,0
725,0,0,0,1,0,0
735,0,0,0,1,0,0
732,0,0,0,1,0,0
719,0,0,0,1,0,0
720,0,0,0,1,0,0
719,0,0,0,1,0,0
717,0,0,0,1,0,0
722,0,0,0,1,0,0
723,0,0,0,1,0,0
728,0,0,0,1,0,0
724,0,0,0,1,0,0
733,0,0,0,1,0,0
725,0,0,0,1,0,0
734,0,0,0,1,0,0
730,0,0,0,1,0,0
737,0,0,0,1,0,0
734,0,0,0,1,0,0
735,0,0,0,1,0,0
739,0,0,0,1,0,0
735,0,0,0,1,0,0
737,0,0,0,1,0,0
741,0,0,0,1,0,0
730,0,0,0,1,0,0
733,0,0,0,1,0,0
729,0,0,0,1,0,0
736,0,0,0,1,0,0
729,0,0,0,1,0,0
728,0,0,0,1,0,0
740,0,0,0,1,0,0
722,0,0,0,1,0,0
734,0,0,0,1,0,0
729,0,0,0,1,0,0
728,0,0,0,1,0,0
722,0,0,0,1,0,0
714,0,0,0,1,0,0
735,0,0,0,1,0,0
735,0,0,0,1,0,0
727,0,0,0,1,0,0
732,0,0,0,1,0,0
729,0,0,0,1,0,0
737,0,0,0,1,0,0
735,0,0,0,1,0,0
734,0,0,0,1,0,0
725,0,0,0,1,0,0
735,0,0,0,1,0,0
731,0,0,0,1,0,0
733,0,0,0,1,0,0
732,0,0,0,1,0,0
729,0,0,0,1,0,0
748,0,0,0,1,0,0
730,0,0,0,1,0,0
727,0,0,0,1,0,0
744,0,0,0,1,0,0
731,0,0,0,1,0,0
732,0,0,0,1,0,0
733,0,0,0,1,0,0
733,0,0,0,1,0,0
728,0,0,0,1,0,0
731,0,0,0,1,0,0
742,0,0,0,1,0,0
726,0,0,0,1,0,0
730,0,0,0,1,0,0
719,0,0,0,1,0,0
729,0,0,0,1,0,0
721,0,0,0,1,0,0
731,0,0,0,1,0,0
725,0,0,0,1,0,0
733,0,0,0,1,0,0
738,0,0,0,1,0,0
735,0,0,0,1,0,0
725,0,0,0,1,0,0
732,0,0,0,1,0,0
733,0,0,0,1,0,0
734,0,0,0,1,0,0
726,0,0,0,1,0,0
734,0,0,0,1,0,0
730,0,0,0,1,0,0
740,0,0,0,1,0,0
733,0,0,0,1,0,0
729,0,0,0,1,0,0
736,0,0,0,1,0,0
737,0,0,0,1,0,0
729,0,0,0,1,0,0
728,0,0,0,1,0,0
725,0,0,0,1,0,0
732,0,0,0,1,0,0
739,0,0,0,1,0,0
736,0,0,0,1,0,0
724,0,0,0,1,0,0
740,0,0,0,1,0,0
732,0,0,0,1,0,0
731,0,0,0,1,0,0
728,0,0,0,1,0,0
739,0,0,0,1,0,0
739,0,0,0,1,0,0
733,0,0,0,1,0,0
735,0,0,0,1,0,0
733,0,0,0,1,0,0
732,0,0,0,1,0,0
731,0,0,0,1,0,0
739,0,0,0,1,0,0
730,0,0,0,1,0,0
729,0,0,0,1,0,0
727,0,0,0,1,0,0
732,0,0,0,1,0,0
728,0,0,0,1,0,0
726,0,0,0,1,0,0
723,0,0,0,1,0,0
728,0,0,0,1,0,0
727,0,0,0,1,0,0
721,0,0,0,1,0,0
731,0,0,0,1,0,0
735,0,0,0,1,0,0
741,0,0,0,1,0,0
732,0,0,0,1,0,0
739,0,0,0,1,0,0
730,0,0,0,1,0,0
730,0,0,0,1,0,0
747,0,0,0,1,0,0
730,0,0,0,1,0,0
741,0,0,0,1,0,0
731,0,0,0,1,0,0
736,0,0,0,1,0,0
738,0,0,0,1,0,0
736,0,0,0,1,0,0
748,0,0,0,1,0,0
738,0,0,0,1,0,0
728,0,0,0,1,0,0
728,0,0,0,1,0,0
729,0,0,0,1,0,0
732,0,0,0,1,0,0
731,0,0,0,1,0,0
741,0,0,0,1,0,0
732,0,0,0,1,0,0
717,0,0,0,1,0,0
714,0,0,0,1,0,0
714,0,0,0,1,0,0
711,0,0,0,1,0,0
717,0,0,0,1,0,0
717,0,0,0,1,0,0
708,0,0,0,1,0,0
714,0,0,0,1,0,0
721,0,0,0,1,0,0
711,0,0,0,1,0,0
718,0,0,0,1,0,0
714,0,0,0,1,0,0
712,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
708,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
708,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
706,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
705,0,0,0,1,0,0
707,0,0,0,1,0,0
707,0,0,0,1,0,0
708,0,0,0,1,0,0
707,0,0,0,1,0,0
706,0,0,0,1,0,0
707,0,0,0,1,0,0
708,0,0,0,1,0,0
707,0,0,0,1,0,0
993,0,0,0,1,0,0
977,0,0,0,1,0,0
999,0,0,0,1,0,0
992,0,0,0,1,0,0
950,0,0,0,1,0,0
988,0,0,0,1,0,0
1002,0,0,0,1,0,0
973,0,0,0,1,0,0
1033,0,0,0,1,0,0
1004,0,0,0,1,0,0
1008,0,0,0,1,0,0
985,0,0,0,1,0,0
1022,0,0,0,1,0,0
1027,0,0,0,1,0,0
1005,0,0,0,1,0,0
983,0,0,0,1,0,0
975,0,0,0,1,0,0
989,0,0,0,1,0,0
976,0,0,0,1,0,0
970,0,0,0,1,0,0
998,0,0,0,1,0,0
1031,0,0,0,1,0,0
961,0,0,0,1,0,0
1015,0,0,0,1,0,0
967,0,0,0,1,0,0
1001,0,0,0,1,0,0
1017,0,0,0,1,0,0
1015,0,0,0,1,0,0
1003,0,0,0,1,0,0
789,0,0,0,1,0,0
772,0,0,0,1,0,0
762,0,0,0,1,0,0
780,0,0,0,1,0,0
782,0,0,0,1,0,0
774,0,0,0,1,0,0
770,0,0,0,1,0,0
768,0,0,0,1,0,0
770,0,0,0,1,0,0
764,0,0,0,1,0,0
769,0,0,0,1,0,0
764,0,0,0,1,0,0
748,0,0,0,1,0,0
771,0,0,0,1,0,0
793,0,0,0,1,0,0
772,0,0,0,1,0,0
782,0,0,0,1,0,0
785,0,0,0,1,0,0
777,0,0,0,1,0,0
799,0,0,0,1,0,0
802,0,0,0,1,0,0
776,0,0,0,1,0,0
792,0,0,0,1,0,0
787,0,0,0,1,0,0
803,0,0,0,1,0,0
774,0,0,0,1,0,0
789,0,0,0,1,0,0
778,0,0,0,1,0,0
763,0,0,0,1,0,0
766,0,0,0,1,0,0
757,0,0,0,1,0,0
745,0,0,0,1,0,0
756,0,0,0,1,0,0
758,0,0,0,1,0,0
762,0,0,0,1,0,0
753,0,0,0,1,0,0
766,0,0,0,1,0,0
767,0,0,0,1,0,0
774,0,0,0,1,0,0
754,0,0,0,1,0,0
759,0,0,0,1,0,0
757,0,0,0,1,0,0
751,0,0,0,1,0,0
775,0,0,0,1,0,0
749,0,0,0,1,0,0
764,0,0,0,1,0,0
758,0,0,0,1,0,0
751,0,0,0,1,0,0
747,0,0,0,1,0,0
750,0,0,0,1,0,0
767,0,0,0,1,0,0
754,0,0,0,1,0,0
752,0,0,0,1,0,0
762,0,0,0,1,0,0
757,0,0,0,1,0,0
754,0,0,0,1,0,0
768,0,0,0,1,0,0
780,0,0,0,1,0,0
781,0,0,0,1,0,0
770,0,0,0,1,0,0
796,0,0,0,1,0,0
786,0,0,0,1,0,0
778,0,0,0,1,0,0
774,0,0,0,1,0,0
772,0,0,0,1,0,0
769,0,0,0,1,0,0
768,0,0,0,1,0,0
749,0,0,0,1,0,0
763,0,0,0,1,0,0
761,0,0,0,1,0,0
756,0,0,0,1,0,0
758,0,0,0,1,0,0
760,0,0,0,1,0,0
765,0,0,0,1,0,0
749,0,0,0,1,0,0
731,0,0,0,1,0,0
743,0,0,0,1,0,0
735,0,0,0,1,0,0
733,0,0,0,1,0,0
732,0,0,0,1,0,0
729,0,0,0,1,0,0
727,0,0,0,1,0,0
732,0,0,0,1,0,0
726,0,0,0,1,0,0
730,0,0,0,1,0,0
732,0,0,0,1,0,0
730,0,0,0,1,0,0
724,0,0,0,1,0,0
720,0,0,0,1,0,0
723,0,0,0,1,0,0
732,0,0,0,1,0,0
723,0,0,0,1,0,0
734,0,0,0,1,0,0
727,0,0,0,1,0,0
724,0,0,0,1,0,0
737,0,0,0,1,0,0
733,0,0,0,1,0,0
728,0,0,0,1,0,0
727,0,0,0,1,0,0
730,0,0,0,1,0,0
734,0,0,0,1,0,0
728,0,0,0,1,0,0
729,0,0,0,1,0,0
731,0,0,0,1,0,0
731,0,0,0,1,0,0
741,0,0,0,1,0,0
731,0,0,0,1,0,0
738,0,0,0,1,0,0
729,0,0,0,1,0,0
730,0,0,0,1,0,0
743,0,0,0,1,0,0
737,0,0,0,1,0,0
739,0,0,0,1,0,0
735,0,0,0,1,0,0
743,0,0,0,1,0,0
730,0,0,0,1,0,0
720,0,0,0,1,0,0
727,0,0,0,1,0,0
723,0,0,0,1,0,0
724,0,0,0,1,0,0
725,0,0,0,1,0,0
728,0,0,0,1,0,0
731,0,0,0,1,0,0
726,0,0,0,1,0,0
726,0,0,0,1,0,0
718,0,0,0,1,0,0
717,0,0,0,1,0,0
717,0,0,0,1,0,0
716,0,0,0,1,0,0
716,0,0,0,1,0,0
719,0,0,0,1,0,0
717,0,0,0,1,0,0
715,0,0,0,1,0,0
718,0,0,0,1,0,0
716,0,0,0,1,0,0
715,0,0,0,1,0,0
716,0,0,0,1,0,0
717,0,0,0,1,0,0
716,0,0,0,1,0,0
718,0,0,0,1,0,0
719,0,0,0,1,0,0
715,0,0,0,1,0,0
717,0,0,0,1,0,0
715,0,0,0,1,0,0
716,0,0,0,1,0,0
718,0,0,0,1,0,0
717,0,0,0,1,0,0
716,0,0,0,1,0,0
718,0,0,0,1,0,0
715,0,0,0,1,0,0
718,0,0,0,1,0,0
717,0,0,0,1,0,0
715,0,0,0,1,0,0
718,0,0,0,1,0,0
718,0,0,0,1,0,0
719,0,0,0,1,0,0
716,0,0,0,1,0,0
717,0,0,0,1,0,0
716,0,0,0,1,0,0
